stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
66272,901577,NORTHWEST DR NW@1514,,33.79586,-84.486313,,,,
66274,906575,NORTHWEST DR@1464,,33.795586,-84.485405,,,,
66276,901578,NORTHWEST DR NW@1420,,33.794212,-84.484665,,,,
66278,901648,NORTHWEST DR NW@MANGO CIR NW,0 NORTHWEST & MANGO,33.793209,-84.483101,,,,
66280,902448,NORTHWEST DR NW@1386,,33.792068,-84.481537,,,,
66282,902449,NORTHWEST DR NW@1304,,33.790524,-84.480629,,,,
66284,902450,NORTHWEST DR NW@1286,,33.790111,-84.479417,,,,
66286,901579,NORTHWEST DR@JAMES JACKSON PKY,0 NORTHWEST & JAMES JACKSON,33.787277,-84.477158,,,,
66288,902504,SAINT JAMES AVE NW@7TH ST NW,0 ST JAMES AVE NW & 8TH ST NW,33.785786,-84.473906,,,,
66293,902480,HIGHTOWER RD NW@ETHERIDGE DR NW,0 HIGHTOWER & ETHERIDGE,33.787788,-84.470459,,,,
66295,902505,HIGHTOWER RD NW@WEST AVE NW,0 HIGHTOWER & WEST,33.78876,-84.47013,,,,
66299,902508,BOLTON RD NW@BANKHEAD HWY NW,0 BOLTON & BANKHEAD,33.787559,-84.49458,,,,
66300,902481,ATLANTA INDUSTRIAL PKY@3755,3755 ATLANTA INDUSTRIAL PKY NW,33.802073,-84.495638,,,,
66303,902483,ATLANTA INDUSTRIAL PKY NW@3201,,33.792824,-84.495795,,,,
66305,902509,ATLANTA INDUSTRIAL PKY@BANKHEAD HW,0 ATLANTA INDUSTRIAL & BANKHEAD,33.791163,-84.496957,,,,
66316,902541,HOLLYWOOD RD NW@BROOKS AVE NW,0 HOLLYWOOD & BROOKS,33.785459,-84.461174,,,,
66320,902542,HOLLYWOOD RD NW@ALVIN DR NW,0 HOLLYWOOD & ALVIN,33.787766,-84.464195,,,,
66322,902543,HOLLYWOOD RD NW@SPRING ST NW,0 HOLLYWOOD & SPRING,33.788673,-84.465843,,,,
66324,902567,HOLLYWOOD RD NW@SAINT PAUL AVE NW,0 HOLLYWOOD & ST PAUL,33.789761,-84.466354,,,,
66328,902568,HIGHTOWER RD NW@ETHERIDGE DR NW,0 HIGHTOWER & ETHERIDGE,33.788006,-84.470772,,,,
66330,902569,HIGHTOWER RD@SAINT JAMES AVE NW,0 HIGHTOWER & ST JAMES,33.785938,-84.472748,,,,
66332,902570,SAINT JAMES AVE NW@7TH ST NW,0 ST JAMES & 7TH,33.785989,-84.473296,,,,
66334,902544,SAINT JAMES AVE NW@8TH ST NW,0 ST JAMES AVE NW & 8TH ST NW,33.785901,-84.474645,,,,
66336,902545,NORTHWEST DR NW@WEDGEWOOD DR NW,0 NORTHWEST & WEDGEWOOD,33.78661,-84.475708,,,,
66338,902546,NORTHWEST DR NW@1190,,33.78886,-84.477592,,,,
66340,902547,NORTHWEST DR NW@1291,,33.790092,-84.479218,,,,
66342,902571,NORTHWEST DR NW@1341,,33.791576,-84.480667,,,,
66344,902572,NORTHWEST DR NW@1375,,33.792835,-84.481316,,,,
66346,902620,NORTHWEST DR NW@MANGO CIR,0 NORTHWEST & MANGO,33.793427,-84.482292,,,,
66348,902621,BOLTON RD NW@PARROTT AVE,0 BOLTON & PARROTT,33.801479,-84.486908,,,,
66352,902404,BOLTON RD NW@SAM ST,0 GA-70 & SAM ST NW,33.802563,-84.484772,,,,
66388,902598,ETHERIDGE DR NW@7TH ST NW,0 ETHERIDGE & 7TH,33.788109,-84.473344,,,,
66398,902406,HOLLYWOOD RD NW@SMITH ST NW,0 HOLLYWOOD & SMITH,33.809659,-84.472231,,,,
66400,902407,BRIDGEPORT DR NW@MARCO DR NW,0 BRIDGEPORT DR NW & MARCO DR NW,33.79876,-84.477596,,,,
66402,902408,HOLLYWOOD RD NW@BROWNTOWN RD NW,0 HOLLYWOOD & BROWNTOWN,33.803436,-84.470552,,,,
66404,902409,HOLLYWOOD RD@MILTON AVE,0 HOLLYWOOD & MILTON,33.78284,-84.45841,,,,
66406,902599,HOLLYWOOD RD@1073,,33.784246,-84.460112,,,,
66408,902600,NORTHWEST DR@JAMES JACKSON PKY,0 NORTHWEST & JAMES JACKSON,33.787543,-84.476423,,,,
66410,902601,NORTHWEST DR@1415,,33.794741,-84.484242,,,,
66412,902602,NORTHWEST DR@1514,,33.796426,-84.486118,,,,
66416,901998,BOLTON RD@PEYTON RD,0 BOLTON & PEYTON,33.807791,-84.480569,,,,
66422,901999,HOLLYWOOD RD@ALVIN DR,0 HOLLYWOOD & ALVIN,33.787734,-84.464488,,,,
66428,902000,MCCALLIE BLVD@AJAX DR,MCCALLIE BLVD NW & ADDISON PL NW,33.798532,-84.458767,,,,
66430,902001,MARY GEORGE AVE@PERRY BLVD,0 MARY GEORGE & PERRY,33.802285,-84.458035,,,,
66432,901930,AJAX DR@ABNER TER,0 AJAX DR NW & ABNER TER NW,33.800256,-84.462218,,,,
66440,901932,6TH ST@ETHERIDGE DR,0 6TH & ETHERIDGE,33.78775,-84.472284,,,,
66442,901933,AUDREY PL@BROWNTOWN RD,0 AUDREY PL NW & BROWNTOWN RD NW,33.801876,-84.476319,,,,
66448,902004,BOLTON RD@REY ST,0 BOLTON RD NW & GA-70,33.801988,-84.485946,,,,
66554,901934,BOLTON RD@BROWNTOWN RD,0 GA-70 & BOLTON RD NW,33.804427,-84.482905,,,,
66556,901935,BOLTON RD@1051,,33.78414,-84.497262,,,,
66560,902118,ATLANTA INDUSTRIAL PKY@BANKHEAD HW,0 ATLANTA INDUSTRIAL PKY NW & BANKHEAD HWY NW,33.791089,-84.496419,,,,
66562,902159,ATLANTA IND PKWY @ATLANTA IND DRNW,ATLANTA INDUSTRIAL PKY NW & ATLANTA INDUSTRIAL DR NW,33.796147,-84.495876,,,,
66568,902223,ATLANTA INDUSTRIAL PKY@3710,,33.800932,-84.496495,,,,
66570,902224,ATLANTA IND PKWY NW@ATLANTA IND DR,ATLANTA INDUSTRIAL PKY NW & ATLANTA INDUSTRIAL DR NW,33.796147,-84.495963,,,,
66578,902161,HOLLYWOOD RD@SPRING ST,0 HOLLYWOOD & SPRING,33.788773,-84.466287,,,,
66586,902271,MCCALLIE BLVD@ADDISON PL,0 MCCALLIE & ADDISON,33.799427,-84.458313,,,,
66590,902273,BRIDGEPORT DR@MARCO DR,0 BRIDGEPORT DR NW & MARCO DR NW,33.800229,-84.476772,,,,
66592,902274,HOLLYWOOD RD@SPINK ST,0 HOLLYWOOD & SPINK,33.812919,-84.469514,,,,
66596,902334,HIGHTOWER RD NW@7TH ST NW,0 HIGHTOWER & 7TH,33.784765,-84.473626,,,,
66598,901434,HIGHTOWER RD@HOLLYWOOD RD,0 HIGHTOWER & HOLLYWOOD,33.79272,-84.469332,,,,
66602,901435,PERRY BLVD @ 2265,,33.805605,-84.464197,,,,
66604,901436,NORTHWEST DR@1304,,33.790817,-84.479996,,,,
66606,901502,HOLLYWOOD RD@HOLLYWOOD CT,0 HOLLYWOOD & HOLLYWOOD,33.797647,-84.470042,,,,
66608,901503,HIGHTOWER RD@WEST AVE,0 HIGHTOWER & WEST,33.78886,-84.470551,,,,
66610,901549,JAMES JACKSON PKY@NORTHWEST DR,0 JAMES JACKSON & NORTHWEST,33.789043,-84.476591,,,,
66612,901550,HOLLYWOOD RD@GUN CLUB RD,0 HOLLYWOOD & GUN CLUB,33.794225,-84.469621,,,,
66614,901437,HOLLYWOOD RD@GUN CLUB RD,0 HOLLYWOOD & GUN CLUB,33.794692,-84.469322,,,,
67002,901440,MARIETTA ST NW@MARIETTA BLVD NW,W MARIETTA ST NW & MARIETTA BLVD NW,33.786346,-84.42887,,,,
67008,901552,PERRY BLVD NW@JOHNSON RD NW,0 PERRY BLVD NW & JOHNSON RD NW,33.788638,-84.437008,,,,
67010,901614,PERRY BLVD@W HIGHLANDS BLVD NW,0 PERRY BLVD NW & WEST HIGHLANDS BLVD,33.793658,-84.447446,,,,
67028,901615,MARIETTA ST NW@MARIETTA BLVD NW,0 MARIETTA & MARIETTA,33.78603,-84.42823,,,,
67030,901616,MARIETTA ST NW@ROCKDALE ST NW,0 MARIETTA & ROCKDALE,33.78672,-84.43394,,,,
67032,901617,PERRY BLVD NW @ JOHNSON RD NW,0 PERRY & JOHNSON,33.788231,-84.436935,,,,
