stop_id,stop_code,stop_name,stop_lat,stop_lon
100076,100076,LUCILE AVE SW@PEEPLES ST SW,33.742294,-84.420334
100078,100078,LUCILE AVE SW@LAWTON ST SW,33.742287,-84.422523
100080,100080,LUCILE AVE SW@LAWTON ST SW,33.742287,-84.423462
99368,900148,CASCADE AVE@RALPH DAVID ABERNATH BL,33.738846,-84.43351
99370,900149,CASCADE AVE SW@WESTWOOD AVE SW,33.738052,-84.435448
99372,900150,CASCADE AVE@OGLETHORPE AVE,33.736752,-84.436119
99374,900151,CASCADE AVE SW@OLYMPIAN WAY SW,33.735374,-84.436745
99382,900152,CASCADE AVE SW@MONTREAT AVE SW,33.730663,-84.440208
99386,900153,CASCADE AVE SW@ALTADENA PL SW,33.72963,-84.441216
99388,900154,CASCADE AVE SW@MAYFLOWER AVE SW,33.729071,-84.441931
99389,900155,CASCADE AVE@CASCADE TER,33.728046,-84.443521
99402,900156,RALPH DAVID ABERNATH BLVD@WESTVIEW,33.747982,-84.44281
99403,900157,RALPH DAVID ABERNATH BLVD@WESTVIEW,33.746922,-84.441505
99404,900158,RALPH DAVID ABERNATH BLVD@LAUREL AV,33.746067,-84.440971
99426,900163,BEECHER RD SW@SHIRLEY ST SW,33.734013,-84.453041
99438,900164,RALPH DAVID ABERNATH BLVD@ONTARIO A,33.745449,-84.439758
99456,900169,BEECHER ST SW@BEECHER CT SW,33.733524,-84.44796
99457,900170,BEECHER ST SW@KENNOLIA DR SW,33.733685,-84.448907
99458,900171,BEECHER ST SW@SHIRLEY ST SW,33.733265,-84.450996
99360,900172,CASCADE AVE SW@COPELAND AVE SW,33.735779,-84.436134
99362,900173,CASCADE AVE SW@OGLETHORPE AVE SW,33.736633,-84.435768
99364,900174,CASCADE AVE SW@DONNELLY AVE SW,33.737782,-84.43531
99366,900175,CASCADE AVE@RALPH DAVID ABERNATH BL,33.738522,-84.433624
99376,900176,CASCADE AVE SW@BEECHER ST SW,33.734173,-84.437241
99378,900177,CASCADE AVE SW@BEECHER ST SW,33.733448,-84.437675
99380,900178,CASCADE AVE SW@WESTHAVEN DR SW,33.732388,-84.438492
99381,900179,CASCADE AVE SW@RICHLAND RD,33.731729,-84.439294
99392,900180,CASCADE AVE SW@CASCADE CIR SW,33.72673,-84.44529
99394,900181,CASCADE AVE SW@EASTRIDGE RD SW,33.725872,-84.446518
99396,900182,ANDERSON AVE@MARTIN LUTHER KING J,33.75232,-84.445906
99400,900183,RALPH DAVID ABERNATH BLVD@LAKE AVE,33.749902,-84.444449
99430,900187,BEECHER RD SW@BEECHER CIR SW,33.7334,-84.457216
99432,900188,RALPH DAVID ABERNATH BLVD@WESTVIEW,33.748299,-84.442444
99434,900189,RALPH DAVID ABERNATH BLVD SW@WESTVI,33.747078,-84.441345
99436,900190,RALPH DAVID ABERNATH BLVD@LAUREL AV,33.746109,-84.440475
99459,900195,GORDON ST SW@ALVARADO TER SW,33.734448,-84.447198
99460,900196,BEECHER RD SW@SHIRLEY ST SW,33.733662,-84.453568
99462,900197,BEECHER RD SW@HERRING RD SW,33.726864,-84.463333
99463,900198,BEECHER RD SW@HIGHVIEW RD SW,33.727917,-84.462236
99473,900199,AARON ST@PENELOPE RD,33.753724,-84.451602
99475,900200,ANDERSON AVE@MARTIN LUTHER KING J D,33.750854,-84.446236
99477,900201,WESTWOOD AVE@WILLARD AVE,33.73835,-84.438042
99479,900202,RALPH DAVID ABERNATH BLVD@ONTARIO A,33.745007,-84.439812
99464,900203,BEECHER RD SW@HIGHVIEW RD SW,33.732307,-84.458488
99465,900204,GORDON ST SW@ROGERS AVE SW,33.737172,-84.446688
99466,900205,BEECHER RD SW@BEECHER CIR,33.733028,-84.456985
99467,900206,BEECHER RD SW@RECTOR DR SW,33.733307,-84.456342
99481,900207,BEECHER RD@BEECHER CIR,33.730915,-84.460136
99496,900208,LUCILE AVE@RALPH DAVID ABERNATH BLV,33.742935,-84.437271
100017,100017,W END AVE SW @ WELLBORN ST SW,33.744304,-84.415499
100022,100022,W END AVE SW @ ASHBY ST SW,33.744724,-84.417207
100024,100024,JOSEPH E LOWERY BLVD@FAIR ST SW,33.749024,-84.417337
100026,100026,JOSEPH E LOWERY BLVD@PARSONS ST SW,33.75063,-84.417277
100028,100028,JOSEPH E LOWERY BLVD@BECKWITH ST SW,33.752027,-84.417322
100030,100030,FAIR ST SW@EUHRLEE ST SW,33.749485,-84.415922
100032,100032,FAIR ST SW@OGDEN ST SW,33.749476,-84.416734
100035,100035,FAIR ST SW@ASHBY ST SW,33.748924,-84.417769
99334,900209,CASCADE AVE SW@PINEVIEW TER SW,33.729683,-84.440666
99336,900210,CASCADE AVE SW@MONTREAT AVE SW,33.73032,-84.440056
