15048,15048,HAYNES BRIDGE RD@MORRISON PKY,34.061054999999996,-84.289146
15054,15054,ACADEMY ST @ HAYNES BRIDGE RD,34.075399,-84.292976
15056,15056,HAYNES BRIDGE RD@11385,34.057514999999995,-84.28713499999999
15058,15058,NORTH POINT PKY@6300,34.047503999999996,-84.28929
15060,15060,NORTH POINT PKY@6751,34.044419,-84.297923
15062,15062,NORTH POINT PKY@NORTH POINT CT,34.047736,-84.288493
15066,15066,HAYNES BRIDGE RD@NORTH POINT DR,34.051342999999996,-84.285479
15068,15068,HAYNES BRIDGE RD@11634,34.058606999999995,-84.287375
15070,15070,NORTH POINT PKY@ROYAL BLVDS,34.054879,-84.27319
15072,15072,NORTH POINT PKY@ROYAL BLVD S,34.054556999999996,-84.273179
15074,15074,NORTH POINT PKY@GEORGIA LANE,34.04973,-84.283363
15076,15076,NORTH POINT PKY @ KIMBALL BRIDGE RD,34.049783,-84.281508
15078,15078,HAYNES BRIDGE RD@NORTH POINT DR,34.049963999999996,-84.285986
15080,15080,NORTH POINT PKY@5055,34.054353,-84.276901
15082,15082,NORTH POINT PKY@5055,34.054725999999995,-84.27728599999999
15084,15084,HAYNES BRIDGE RD@THOMPSON ST,34.072359999999996,-84.293587
15086,15086,NORTH POINT PKY@MILL CREEK AVE,34.049988,-84.280963
15088,15088,NORTH POINT PKY @ NORTH POINT DR,34.050212,-84.28101699999999
15090,15090,NORTH POINT PKY@ROCK MILL RD,34.051814,-84.279206
15092,15092,NORTH POINT PKY@ROCK MILL RD,34.051938,-84.279652
16010,16010,NORTH POINT PKY@ROYAL BLVD S,34.054603,-84.271739
16016,16016,NORTH POINT PKY @ 4000,34.065942,-84.262005
16018,16018,NORTH POINT PKY@PRESTON RIDGE RD,34.071017999999995,-84.256571
16020,16020,NORTH POINT PKY @ 3980,34.069323,-84.260289
16022,16022,NORTH POINT PKY@3180,34.074163,-84.257003
16023,16023,NORTH POINT PKY @ PRESTON RIDGE RD,34.071684,-84.256765
16024,16024,NORTH POINT PKY @ 3180,34.074037,-84.257706
16026,16026,NORTH POINT PKY @ 4501,34.060519,-84.265895
16028,16028,NORTH POINT PKY @ 4125,34.06661,-84.262158
16030,16030,NORTH POINT PKY @ OLD MILTON PKY,34.068411,-84.26074799999999
20010,20010,ATLANTA ST@OXBO RD,34.017582,-84.36214799999999
20012,20012,ATLANTA ST@OAK ST,34.01968,-84.36164099999999
20014,20014,ALPHARETTA ST@ELIZABETH WAY,34.024082,-84.360771
20016,20016,ALPHARETTA ST@NORCROSS ST,34.025188,-84.360458
20018,20018,ALPHARETTA ST@CHERRY ST,34.027241,-84.358696
20020,20020,ALPHARETTA ST@WOODSTOCK ST,34.029002999999996,-84.356476
20024,20024,ALPHARETTA ST@THOMAS DR,34.031132,-84.352989
20026,20026,ALPHARETTA ST@1207,34.032179,-84.351299
20028,20028,ALPHARETTA ST@ALPINE DR,34.034594999999996,-84.34698499999999
